episode,steps,reward,success,avg_loss
0,45,10.0000,1,0.5530
1,80,0.0000,0,0.0758
2,80,0.0000,0,0.0195
3,80,0.0000,0,-0.0375
4,80,0.0000,0,-0.0495
5,80,0.0000,0,-0.0241
6,80,0.0000,0,0.0074
7,80,0.0000,0,-0.0020
8,80,0.0000,0,-0.0021
9,80,0.0000,0,-0.0005
10,80,0.0000,0,-0.0264
11,80,0.0000,0,-0.0215
12,80,0.0000,0,-0.0050
13,33,10.0000,1,0.4713
14,80,0.0000,0,0.0238
15,45,10.0000,1,0.4875
16,80,0.0000,0,-0.0295
17,27,10.0000,1,0.4628
18,80,0.0000,0,0.0536
19,80,0.0000,0,0.1024
20,80,0.0000,0,-0.0311
21,80,0.0000,0,0.0012
22,80,0.0000,0,-0.0552
23,80,0.0000,0,-0.0468
24,80,0.0000,0,-0.0656
25,26,10.0000,1,0.4229
26,80,0.0000,0,0.0563
27,80,0.0000,0,0.0461
28,80,0.0000,0,0.0533
29,38,10.0000,1,0.4004
30,80,0.0000,0,-0.0069
31,80,0.0000,0,0.0222
32,80,0.0000,0,-0.0279
33,80,0.0000,0,0.0069
34,80,0.0000,0,-0.0181
35,80,0.0000,0,-0.0597
36,80,0.0000,0,-0.0833
37,80,0.0000,0,-0.0525
38,80,0.0000,0,0.0243
39,80,0.0000,0,0.1127
40,80,0.0000,0,0.0164
41,80,0.0000,0,0.0343
42,80,0.0000,0,0.0348
43,80,0.0000,0,-0.0149
44,80,0.0000,0,-0.0796
45,80,0.0000,0,-0.0506
46,80,0.0000,0,-0.0167
47,80,0.0000,0,-0.0031
48,80,0.0000,0,-0.0106
49,80,0.0000,0,0.0043
50,80,0.0000,0,-0.0105
51,80,0.0000,0,0.0031
52,80,0.0000,0,-0.0032
53,80,0.0000,0,-0.0159
54,80,0.0000,0,-0.0079
55,24,10.0000,1,0.4534
56,80,0.0000,0,-0.0117
57,80,0.0000,0,-0.0124
58,80,0.0000,0,0.0265
59,80,0.0000,0,-0.0327
60,80,0.0000,0,-0.0044
61,23,10.0000,1,0.4156
62,80,0.0000,0,-0.0280
63,80,0.0000,0,-0.0094
64,80,0.0000,0,0.0290
65,80,0.0000,0,-0.0286
66,80,0.0000,0,-0.0764
67,80,0.0000,0,0.0186
68,80,0.0000,0,-0.0061
69,80,0.0000,0,-0.0347
70,80,0.0000,0,-0.0087
71,22,10.0000,1,0.4321
72,80,0.0000,0,0.0275
73,80,0.0000,0,-0.0396
74,22,10.0000,1,0.3253
75,80,0.0000,0,0.0561
76,80,0.0000,0,0.0680
77,80,0.0000,0,-0.0270
78,80,0.0000,0,-0.0166
79,80,0.0000,0,-0.0470
80,80,0.0000,0,-0.0226
81,80,0.0000,0,0.0061
82,80,0.0000,0,-0.0030
83,80,0.0000,0,-0.0046
84,80,0.0000,0,-0.0153
85,22,10.0000,1,0.4226
86,80,0.0000,0,-0.0113
87,80,0.0000,0,0.0136
88,80,0.0000,0,-0.0257
89,17,10.0000,1,0.2605
90,80,0.0000,0,0.0442
91,80,0.0000,0,-0.0342
92,80,0.0000,0,0.0798
93,80,0.0000,0,0.0101
94,80,0.0000,0,-0.0153
95,80,0.0000,0,0.0305
96,17,10.0000,1,0.3887
97,80,0.0000,0,0.0285
98,80,0.0000,0,0.0199
99,21,10.0000,1,0.1598
100,16,10.0000,1,0.2854
101,80,0.0000,0,0.1117
102,25,10.0000,1,0.1659
103,80,0.0000,0,0.0527
104,80,0.0000,0,-0.1198
105,80,0.0000,0,0.0477
106,14,10.0000,1,0.2614
107,80,0.0000,0,-0.0197
108,80,0.0000,0,-0.0308
109,80,0.0000,0,-0.0867
110,80,0.0000,0,-0.0155
111,80,0.0000,0,0.0824
112,80,0.0000,0,0.0340
113,80,0.0000,0,0.0093
114,18,10.0000,1,0.3339
115,16,10.0000,1,0.2403
116,80,0.0000,0,-0.0379
117,80,0.0000,0,0.0770
118,19,10.0000,1,0.1798
119,80,0.0000,0,-0.2199
120,80,0.0000,0,0.0370
121,80,0.0000,0,0.1021
122,80,0.0000,0,0.0053
123,80,0.0000,0,0.0017
124,80,0.0000,0,-0.0349
125,80,0.0000,0,-0.0486
126,80,0.0000,0,0.0252
127,18,10.0000,1,0.3836
128,80,0.0000,0,0.0390
129,80,0.0000,0,0.0023
130,80,0.0000,0,-0.0432
131,80,0.0000,0,0.0018
132,80,0.0000,0,-0.0232
133,80,0.0000,0,-0.0211
134,80,0.0000,0,-0.0022
135,80,0.0000,0,0.0088
136,80,0.0000,0,0.0060
137,80,0.0000,0,-0.0202
138,80,0.0000,0,-0.0304
139,80,0.0000,0,0.0059
140,80,0.0000,0,0.0046
141,80,0.0000,0,-0.0124
142,80,0.0000,0,-0.0005
143,80,0.0000,0,0.0001
144,80,0.0000,0,-0.0205
145,10,10.0000,1,0.3710
146,23,10.0000,1,0.3298
147,80,0.0000,0,-0.0043
148,12,10.0000,1,0.0453
149,80,0.0000,0,0.0128
150,80,0.0000,0,0.0664
151,80,0.0000,0,0.0185
152,80,0.0000,0,0.0209
153,80,0.0000,0,-0.0253
154,80,0.0000,0,-0.0491
155,80,0.0000,0,-0.0089
156,80,0.0000,0,-0.0393
157,24,10.0000,1,0.5231
158,80,0.0000,0,-0.0577
159,80,0.0000,0,-0.0510
160,80,0.0000,0,-0.0106
161,14,10.0000,1,0.4024
162,80,0.0000,0,-0.0668
163,80,0.0000,0,-0.0351
164,80,0.0000,0,-0.0386
165,80,0.0000,0,-0.0229
166,80,0.0000,0,0.0615
167,80,0.0000,0,-0.0018
168,80,0.0000,0,-0.0242
169,80,0.0000,0,-0.0134
170,80,0.0000,0,-0.0016
171,80,0.0000,0,0.0383
172,80,0.0000,0,-0.0185
173,80,0.0000,0,-0.0229
174,80,0.0000,0,-0.0160
175,80,0.0000,0,-0.0229
176,80,0.0000,0,0.0650
177,14,10.0000,1,0.3526
178,24,10.0000,1,0.4980
179,80,0.0000,0,-0.0360
180,80,0.0000,0,-0.0435
181,80,0.0000,0,-0.0562
182,80,0.0000,0,-0.0098
183,80,0.0000,0,-0.0194
184,80,0.0000,0,-0.0205
185,80,0.0000,0,-0.0143
186,54,10.0000,1,0.5075
187,80,0.0000,0,0.0023
188,80,0.0000,0,-0.1164
189,80,0.0000,0,-0.0530
190,80,0.0000,0,0.0355
191,80,0.0000,0,0.0263
192,80,0.0000,0,0.0090
193,80,0.0000,0,0.0075
194,80,0.0000,0,-0.0406
195,80,0.0000,0,-0.0275
196,80,0.0000,0,-0.0228
197,80,0.0000,0,-0.0104
198,80,0.0000,0,0.0838
199,80,0.0000,0,-0.0078
200,80,0.0000,0,-0.0152
201,80,0.0000,0,-0.0195
202,67,10.0000,1,0.4484
203,80,0.0000,0,-0.0149
204,80,0.0000,0,0.0482
205,54,10.0000,1,0.4781
206,38,10.0000,1,0.3878
207,53,10.0000,1,0.3304
208,80,0.0000,0,0.1190
209,39,10.0000,1,0.1838
210,41,10.0000,1,0.4305
211,80,0.0000,0,0.3011
212,80,0.0000,0,0.1417
213,59,10.0000,1,0.0135
214,80,0.0000,0,-0.1208
215,16,10.0000,1,-0.0152
216,80,0.0000,0,0.0800
217,80,0.0000,0,0.1064
218,51,10.0000,1,0.2983
219,80,0.0000,0,0.3050
220,80,0.0000,0,-0.0717
221,80,0.0000,0,-0.1546
222,80,0.0000,0,0.0112
223,80,0.0000,0,0.0521
224,25,10.0000,1,0.3055
225,80,0.0000,0,0.0104
226,18,10.0000,1,0.2186
227,22,10.0000,1,0.2184
228,80,0.0000,0,-0.0097
229,12,10.0000,1,0.0001
230,80,0.0000,0,0.0156
231,14,10.0000,1,0.0137
232,61,10.0000,1,0.3844
233,66,10.0000,1,0.2119
234,80,0.0000,0,0.2196
235,80,0.0000,0,0.1026
236,80,0.0000,0,-0.2838
237,80,0.0000,0,0.0454
238,80,0.0000,0,-0.1161
239,80,0.0000,0,0.0337
240,80,0.0000,0,0.2079
241,80,0.0000,0,0.1241
242,80,0.0000,0,0.0572
243,80,0.0000,0,-0.0171
244,80,0.0000,0,-0.0362
245,80,0.0000,0,0.0043
246,80,0.0000,0,-0.0020
247,80,0.0000,0,-0.0105
248,12,10.0000,1,0.3995
249,80,0.0000,0,-0.0363
250,80,0.0000,0,-0.0293
