episode,steps,reward,success,avg_loss
0,33,10.0000,1,0.5806
1,60,0.0000,0,0.0834
2,60,0.0000,0,0.0349
3,60,0.0000,0,-0.0281
4,60,0.0000,0,-0.0497
5,60,0.0000,0,-0.0693
6,60,0.0000,0,-0.0263
7,60,0.0000,0,-0.0141
8,15,10.0000,1,0.4769
9,60,0.0000,0,0.0277
10,60,0.0000,0,0.0078
11,60,0.0000,0,-0.0209
12,60,0.0000,0,-0.0008
13,60,0.0000,0,-0.0083
14,60,0.0000,0,-0.0246
15,60,0.0000,0,-0.0170
16,37,10.0000,1,0.4538
17,60,0.0000,0,-0.0077
18,60,0.0000,0,-0.0099
19,60,0.0000,0,0.0162
20,60,0.0000,0,-0.0060
21,28,10.0000,1,0.4086
22,60,0.0000,0,0.0101
23,60,0.0000,0,-0.0933
24,60,0.0000,0,0.0178
25,60,0.0000,0,0.0852
26,60,0.0000,0,-0.0013
27,60,0.0000,0,-0.0504
28,60,0.0000,0,-0.0600
29,60,0.0000,0,-0.0210
30,60,0.0000,0,0.0249
31,60,0.0000,0,0.0220
32,60,0.0000,0,-0.0084
33,60,0.0000,0,-0.0317
34,60,0.0000,0,-0.0104
35,60,0.0000,0,0.0079
36,60,0.0000,0,-0.0343
37,60,0.0000,0,-0.0165
38,60,0.0000,0,0.0078
39,60,0.0000,0,-0.0027
40,60,0.0000,0,-0.0011
41,55,10.0000,1,0.4492
42,60,0.0000,0,-0.0714
43,60,0.0000,0,-0.0300
44,60,0.0000,0,0.0119
45,60,0.0000,0,0.0107
46,60,0.0000,0,0.0161
47,60,0.0000,0,-0.0026
48,60,0.0000,0,-0.0477
49,60,0.0000,0,-0.0286
50,60,0.0000,0,-0.0130
51,60,0.0000,0,-0.0084
52,60,0.0000,0,0.0298
53,60,0.0000,0,-0.0119
54,60,0.0000,0,-0.0133
55,60,0.0000,0,-0.0224
56,60,0.0000,0,0.0055
57,60,0.0000,0,-0.0017
58,60,0.0000,0,-0.0288
59,60,0.0000,0,-0.0261
60,60,0.0000,0,-0.0035
61,60,0.0000,0,-0.0275
62,60,0.0000,0,0.0197
63,60,0.0000,0,0.0081
64,60,0.0000,0,-0.0045
65,60,0.0000,0,-0.0224
66,60,0.0000,0,-0.0173
67,60,0.0000,0,-0.0028
68,60,0.0000,0,-0.0124
69,60,0.0000,0,-0.0080
70,60,0.0000,0,-0.0131
71,60,0.0000,0,-0.0093
72,60,0.0000,0,-0.0154
73,60,0.0000,0,-0.0072
74,60,0.0000,0,-0.0124
75,60,0.0000,0,-0.0052
76,60,0.0000,0,-0.0164
77,60,0.0000,0,-0.0089
78,60,0.0000,0,-0.0019
79,60,0.0000,0,-0.0180
80,60,0.0000,0,-0.0107
81,60,0.0000,0,-0.0028
82,60,0.0000,0,-0.0116
83,60,0.0000,0,-0.0180
84,60,0.0000,0,-0.0075
85,60,0.0000,0,-0.0068
86,60,0.0000,0,-0.0157
87,60,0.0000,0,-0.0122
88,46,10.0000,1,0.4576
89,60,0.0000,0,-0.0362
90,60,0.0000,0,-0.0166
91,60,0.0000,0,0.0171
92,60,0.0000,0,0.0209
93,60,0.0000,0,-0.0273
94,60,0.0000,0,-0.0330
95,60,0.0000,0,-0.0129
96,60,0.0000,0,0.0121
97,60,0.0000,0,0.0182
98,60,0.0000,0,-0.0130
99,60,0.0000,0,-0.0236
100,60,0.0000,0,-0.0373
101,60,0.0000,0,0.0026
102,60,0.0000,0,0.0043
103,60,0.0000,0,-0.0147
104,60,0.0000,0,-0.0125
105,60,0.0000,0,-0.0195
106,60,0.0000,0,-0.0095
107,60,0.0000,0,-0.0074
108,60,0.0000,0,-0.0052
109,60,0.0000,0,-0.0131
110,60,0.0000,0,-0.0147
111,60,0.0000,0,-0.0142
112,60,0.0000,0,0.0004
113,60,0.0000,0,-0.0119
114,60,0.0000,0,-0.0181
115,60,0.0000,0,-0.0129
116,60,0.0000,0,-0.0134
117,60,0.0000,0,-0.0042
118,60,0.0000,0,-0.0043
119,60,0.0000,0,-0.0123
120,60,0.0000,0,-0.0150
121,60,0.0000,0,-0.0141
122,60,0.0000,0,-0.0083
123,60,0.0000,0,0.0026
124,60,0.0000,0,-0.0200
125,50,10.0000,1,0.4579
126,50,10.0000,1,0.4725
127,60,0.0000,0,-0.0295
128,60,0.0000,0,-0.0322
129,44,10.0000,1,0.3866
130,60,0.0000,0,0.0273
131,60,0.0000,0,-0.2887
132,39,10.0000,1,0.3232
133,60,0.0000,0,0.1924
134,60,0.0000,0,-0.0831
135,60,0.0000,0,0.0542
136,40,10.0000,1,0.4090
137,60,0.0000,0,-0.0113
138,60,0.0000,0,-0.1932
139,60,0.0000,0,-0.0160
140,60,0.0000,0,0.0640
141,60,0.0000,0,-0.0710
142,60,0.0000,0,0.0202
143,60,0.0000,0,-0.0266
144,60,0.0000,0,0.0015
